"FOOD LOOT : Get 100% Cashback up to ₹125 for all users on Eatfit orders only on Apps on PhonePe

General Terms And Conditions :-

Minimum order value ₹99

Offer Period - 13th September 2019 to 17th September 2019

Offer is valid on three orders.",1172331937064603650#,Fri Sep 13 02:11:29 +0000 2019
"RT @Techglares: FOOD LOOT : 

Get 100% Cashback up to ₹125 for all users on Eatfit orders only on Apps on PhonePe

T &amp; C :

Minimum order v…",1172325234080239616#,Fri Sep 13 01:44:51 +0000 2019
"RT @Techglares: Eatfit food orders 100% cash back up to Rs 125.
Cash back on Rs 99@phonePe app.",1172322229058584577#,Fri Sep 13 01:32:54 +0000 2019
"Eatfit food orders 100% cash back up to Rs 125.
Cash back on Rs 99@phonePe app.",1172320889578196992#,Fri Sep 13 01:27:35 +0000 2019
"RT @Techglares: FOOD LOOT : 

Get 100% Cashback up to ₹125 for all users on Eatfit orders only on Apps on PhonePe

T &amp; C :

Minimum order v…",1172245146957561856#,Thu Sep 12 20:26:36 +0000 2019
@Techglares worst food... no quantity no quality... i had from eatfit.. food quality is only of 60 rupees they charge double,1172231791899365378#,Thu Sep 12 19:33:32 +0000 2019
"RT @Techglares: FOOD LOOT : 

Get 100% Cashback up to ₹125 for all users on Eatfit orders only on Apps on PhonePe

T &amp; C :

Minimum order v…",1172228507675418624#,Thu Sep 12 19:20:29 +0000 2019
Sco pa tu manaa #eatfit https://t.co/nWGMWCBfac,1172227383023288320#,Thu Sep 12 19:16:01 +0000 2019
"RT @Techglares: FOOD LOOT : 

Get 100% Cashback up to ₹125 for all users on Eatfit orders only on Apps on PhonePe

T &amp; C :

Minimum order v…",1172226881531199488#,Thu Sep 12 19:14:02 +0000 2019
"RT @Techglares: FOOD LOOT : 

Get 100% Cashback up to ₹125 for all users on Eatfit orders only on Apps on PhonePe

T &amp; C :

Minimum order v…",1172226824991989760#,Thu Sep 12 19:13:48 +0000 2019
text,id,date
"RT @Techglares: FOOD LOOT : 

Get 100% Cashback up to ₹125 for all users on Eatfit orders only on Apps on PhonePe

T &amp; C :

Minimum order v…",1172226716879605760#,Thu Sep 12 19:13:22 +0000 2019
"FOOD LOOT : 

Get 100% Cashback up to ₹125 for all users on Eatfit orders only on Apps on PhonePe

T &amp; C :

Minimum order value ₹99

Offer Period - 13th September 2019 to 17th September 2019

Offer is valid on three orders (once per day, per user, per device)",1172226017877839872#,Thu Sep 12 19:10:36 +0000 2019
"RT @Amazingdeals360: Phonepe :  eatfit 100% cashback

T&amp;c : https://t.co/tgFjgBPfB2

🔴 Offer is valid on three orders (once per day, per us…",1172225808842117120#,Thu Sep 12 19:09:46 +0000 2019
"Phonepe :  eatfit 100% cashback

T&amp;c : https://t.co/tgFjgBPfB2

🔴 Offer is valid on three orders (once per day, per user, per device) placed during the offer period

Valid till 17th September https://t.co/aNzd6TeFoR",1172224254563115009#,Thu Sep 12 19:03:35 +0000 2019
"Eat Fit || Easy Vegan cornbread

https://t.co/jsBv8BZ1nL

#kfef #eatfit #cornbread https://t.co/fU9FWFlyob",1172178565896507392#,Thu Sep 12 16:02:02 +0000 2019
"RT @DhungelDE: Stuffed zucchini flowers ..
mushroom/sundrytomato/ spinach .
.
.
#foodbloger #foodstyle  #foodgood #healthy #foodstagram #fo…",1172120448584364038#,Thu Sep 12 12:11:06 +0000 2019
"Eat Fit || Scottish Baby Carrot &amp; Chive Tart

https://t.co/8chIXs3ZbA

#kfef #eatfit #carrots https://t.co/vdv0QHRbDy",1172106838810214401#,Thu Sep 12 11:17:01 +0000 2019
"@BeCureFit can we please stop using single use plastic for eatfit delivery? Try alternative package (eg., chuck box or ecoware in Bangalore) #cultfit #singleuseplastic",1171982556419383296#,Thu Sep 12 03:03:10 +0000 2019
"Eat Fit || Israeli-Spiced Tomato and Chickpea Salad with Yogurt Sauce

https://t.co/5DbSLUpR8Q

#kfef #eatfit #chickpeas #salad",1171816325091663875#,Wed Sep 11 16:02:37 +0000 2019
"Eat Fit || Pasta Pomodoro Sauce

https://t.co/tCsauqbNXo

#kfef #eatfit #pasta #sauce https://t.co/S4t2o2wpqW",1171744450449682432#,Wed Sep 11 11:17:01 +0000 2019
"Eat Fit || Instant Pot Cauliflower Curry

https://t.co/lGqksxT9HF

#kfef #eatfit #curry #cauliflower",1171453779868188673#,Tue Sep 10 16:02:00 +0000 2019
"Soy una mujer Pitta 🔥 
Las cosas que eatfit María me va enseñando con medicina Ayurveda. 😍 
Nos unimos para no parar y este domingo estaremos dando nuestro segundo taller   ahora en Punta de Este! 
Complejo... https://t.co/sKgCzFxlTB",1171413828288032768#,Tue Sep 10 13:23:15 +0000 2019
"RT @KeepFitEatFit: Eat Fit || Smoothie for breakfast = sorted !

#kfef #eatfit #smoothie https://t.co/F8Go0npxLH",1171326601881108480#,Tue Sep 10 07:36:38 +0000 2019
"@soumyaprasad @BeCureFit @rachnaparmar I love EatFit too. Healthy, lip-smacking options. Low fat, less greasy. It's been a while I ordered. Have been avoiding eating out. Maybe I should, as EatFit tastes like home cooked food.",1171325845828325377#,Tue Sep 10 07:33:38 +0000 2019
"Eat Fit || Smoothie for breakfast = sorted !

#kfef #eatfit #smoothie https://t.co/F8Go0npxLH",1171313696225800198#,Tue Sep 10 06:45:21 +0000 2019
"RT @greencolaksa: إقتراح الغداء لليوم 🌿
مطعم Eat Fit @eatfit_ksa 
أستمتع بوجبة الغداء مع جرين كولا 😋

#غداء #اكثر_حاجه_تصرف_عليها_راتبك #سن…",1171273273805553664#,Tue Sep 10 04:04:44 +0000 2019
"Eat Fit || Some like it hot ! 😃 

https://t.co/78KijvJGuK

#kfef #eatfit #Chilli https://t.co/hxIyy7oHGo",1171091413724991489#,Mon Sep 09 16:02:05 +0000 2019
"We bring to you the ultimate fitness package curated by https://t.co/1eEgVpqRYP by @BeCureFit and preferred by celebrities. 
Plus, you also get amazing offers on https://t.co/NLln556bVU by @BeCureFit only with #TimesPrime.

Subscribe Now! https://t.co/QriWtRH2xP

#CultFit #EatFit https://t.co/bSvyG0HeIi",1171079607472119809#,Mon Sep 09 15:15:10 +0000 2019
"Eat Fit || Slow-Roast Gochujang Chicken 😋😋

https://t.co/C4JhhNHg5X

#kfef #eatfit #chicken https://t.co/cJHKXRTaIZ",1171019675460878336#,Mon Sep 09 11:17:01 +0000 2019
