text,id,date
"@sen_shahana @Kashh_yup Very well concluded. I meant, branding these days, say https://t.co/jcy8fFMTjC or https://t.co/CjXjKmV5Oc has commercialized. Not targeting them, they can do business in any stream, but for a laymen like me, will fall in these fancy fitness regimes.",1172067578023297025#,Thu Sep 12 08:41:01 +0000 2019
"RT @BloombergQuint: LinkedIn's list of top 10 startups where Indians want to work. 

Read: https://t.co/PH1icd13Xh https://t.co/Lpy7FJnqvy",1171857367215984640#,Wed Sep 11 18:45:43 +0000 2019
"RT @nordicinst: Times of India @timesofindia: OYO, https://t.co/uGCgAuUMeO and TapChief top LinkedIn's startups list. #MachineLearning #ais…",1171849190449639424#,Wed Sep 11 18:13:13 +0000 2019
"RT @BloombergQuint: LinkedIn's list of top 10 startups where Indians want to work. 

Read: https://t.co/PH1icd13Xh https://t.co/Lpy7FJnqvy",1171841581768294400#,Wed Sep 11 17:42:59 +0000 2019
"LinkedIn's list of top 10 startups where Indians want to work. 

Read: https://t.co/PH1icd13Xh https://t.co/Lpy7FJnqvy",1171823215984939009#,Wed Sep 11 16:30:00 +0000 2019
Took a trial Yoga class in https://t.co/0IlNG3kd6g  - got a solid reminder why gyms don’t work for me. Sigh.,1171800299285049345#,Wed Sep 11 14:58:57 +0000 2019
"@iamseshupoonuri @SirRishabPant Apart from eat fir code .. 

Click on link for extra 25% off up to Rs 1000 on your 1st purchase.

https://t.co/mP8bfEunnW",1171792206056677379#,Wed Sep 11 14:26:47 +0000 2019
"@ramnivas322 Click on link for extra 25% off up to Rs 1000 on your 1st purchase.
 https://t.co/mP8bfEunnW",1171710497281826816#,Wed Sep 11 09:02:06 +0000 2019
"@offerofworld Click on link for extra 25% off up to Rs 1000 on your 1st purchase.
 https://t.co/mP8bfEunnW",1171710418093391872#,Wed Sep 11 09:01:47 +0000 2019
"@Techglares Click on link for extra 25% off up to Rs 1000 on your 1st purchase.
 https://t.co/mP8bfEunnW",1171694979153924096#,Wed Sep 11 08:00:26 +0000 2019
"https://t.co/scNlhPEObv Introduces Sportswear Brand Cultsport
https://t.co/FiEbyeTnR3
@BeCureFit @cultsportindia #businessexpansion #health #fitness #sportwear",1171692469886574593#,Wed Sep 11 07:50:28 +0000 2019
"@UZingAName @BeCureFit Way to go , i use the cure fit app ! Amazing content ! Did you join their classes ?",1171657316808187904#,Wed Sep 11 05:30:47 +0000 2019
"@Vicky12232278 Hey Vicky! Happy to know your brother wants to be a part of https://t.co/STYmxvM6bz Can you please DM us? 

https://t.co/mCpubw9IM4",1171608890573840385#,Wed Sep 11 02:18:21 +0000 2019
@NirantK @BeCureFit Cure fit has a long way to go before I will visit it for anything other than the tiniest of health problems.,1171280611463417856#,Tue Sep 10 04:33:53 +0000 2019
Glad you liked it :)  I will be conducting regular live meditation sessions on the https://t.co/M5qL5zrdZl app https://t.co/VwwSA3vIDs,1171079835424186368#,Mon Sep 09 15:16:05 +0000 2019
"We bring to you the ultimate fitness package curated by https://t.co/1eEgVpqRYP by @BeCureFit and preferred by celebrities. 
Plus, you also get amazing offers on https://t.co/NLln556bVU by @BeCureFit only with #TimesPrime.

Subscribe Now! https://t.co/QriWtRH2xP

#CultFit #EatFit https://t.co/bSvyG0HeIi",1171079607472119809#,Mon Sep 09 15:15:10 +0000 2019
@varunurav @SalmanMushir You would be able to see it scheduled under https://t.co/5bjZnJpGc8 section in the app :),1171074133771374593#,Mon Sep 09 14:53:25 +0000 2019
"I'm seeing a lot of https://t.co/7W94Cjx5tn updates on my timelines. Is there any exciting offer or is this the gym everyone looks out for with good training facilities?

#Secunderabad @BeCureFit",1170916895135944704#,Mon Sep 09 04:28:37 +0000 2019
@BeCureFit @ReddyVundela https://t.co/X60JIHWv1p he is praising you and you are saying something didn't go https://t.co/C1yerDzzpz. what's wrong with u guys,1170905884257656832#,Mon Sep 09 03:44:51 +0000 2019
"OYO, https://t.co/69wQDgFTF4, TapChief in top startups list - Yahoo Finance UK https://t.co/DQqhM9KwTQ #Funding #Entrepreneuership",1170902231358550016#,Mon Sep 09 03:30:20 +0000 2019
"@nanchan_hiro いっちゃいますか？
https://t.co/yn6nVbtIaE
アプリダウンロードしないといけないですが、最初2回はお試しでいけるはずです…。ぜひインド人とダンス対決しましょう！",1170882049068023808#,Mon Sep 09 02:10:09 +0000 2019
