text,id,date
@KarFireDept @DGP_FIRE seems fire safety rules for high rise buildings allows blocking drive ways; that's why u r allowing @BeCureFit https://t.co/GfP2RHIo9N Nagawara to flaunt laws @BBMPCOMM @drashwathcn @narendramodi @AmitShah https://t.co/hb1CDbxW8z,1172492816548847617#,Fri Sep 13 12:50:45 +0000 2019
"Muscle gain - Cure the right way | Eat Fit - with Myth Media
https://t.co/J5Z4JgX7Wa
#fitness #DietPlans #musclegrowth",1172482116531023872#,Fri Sep 13 12:08:14 +0000 2019
"Eat Fit || Pesto Grilled Cheese with Sun Dried Tomatoes

https://t.co/59T8qC0x1b

#kfef #eatfit #pesto https://t.co/MQJTptygg6",1172469225555935234#,Fri Sep 13 11:17:01 +0000 2019
"Go to phonepe apps
Open eat fit 
Select food and pay through phonepe 
Make sure that u r receiving cashback in payment page itself before proceeding for payment https://t.co/9bkrPIdA2A",1172455509212876805#,Fri Sep 13 10:22:31 +0000 2019
"check this out, [Food Loot] Food Worth ₹125 For Free From https://t.co/8Gm4opa57k | Daily https://t.co/PbTyETIRPC",1172414632293593089#,Fri Sep 13 07:40:05 +0000 2019
@oldschoolmonk Eat. fit,1172413319044460547#,Fri Sep 13 07:34:52 +0000 2019
"Enjoy the delicious and healthy lunch meal of the day.

#eat #fit #healthy #lunch #nutrition #indian #diet #staple #food #delivery @ Delhi, India https://t.co/HhpjQnG21y",1172396175254667264#,Fri Sep 13 06:26:44 +0000 2019
[Food Loot] Food Worth ₹125 For Free From https://t.co/1lJb9Xef1M | Daily https://t.co/I8fwbce8KC https://t.co/sMfD0bhnKi,1172387390427582469#,Fri Sep 13 05:51:50 +0000 2019
[Food Loot] Food Worth ₹125 For Free From https://t.co/EZNXxJZiv4 | Daily https://t.co/bx8dGyIkSt,1172379481970892801#,Fri Sep 13 05:20:24 +0000 2019
"PhonePe https://t.co/wKDLttXjs5 Offer | Get 100% Cashback up to ₹125 for all users on Eatfit orders only on Apps

Min. Order: ₹99

Validity - 13th - 17th Sept.

Valid on 3 orders (once per day, per user, per device)

 New Users join here - https://t.co/bsrjfNICBQ",1172376496826019842#,Fri Sep 13 05:08:33 +0000 2019
"👉Amazon Sanyo Quiz Answers : Play &amp; Win Sanyo 4K TV.

Link : https://t.co/wntDnQobrT

https://t.co/SDtPi1gc0Z:

👉Eat-Fit Phonepe App Cashback Offer : Get 100% Cashback Upto Rs.125 For All Users On Orders Only On Apps On Phonepe.

Link : https://t.co/Eu47s1HM0h",1172322939850518528#,Fri Sep 13 01:35:44 +0000 2019
"Librate de la cocina y empieza a disfrutar tus alimentos con eat&amp;fit, te hacemos llegar todo, hasta la comodidad de tu casa u oficina.

Para mayor información contáctanos vía inbox. https://t.co/FONYRYiy7D",1172316715516084224#,Fri Sep 13 01:11:00 +0000 2019
"@mankuthimma Good share. But what are the other profitable services for UPI apps like Google pay, Paytm ? For something like https://t.co/OGq8WVWTKd etc ? https://t.co/vpN5t3u3pV etc may be.",1172215646710448128#,Thu Sep 12 18:29:23 +0000 2019
"Eat Fit || Easy Vegan cornbread

https://t.co/jsBv8BZ1nL

#kfef #eatfit #cornbread https://t.co/fU9FWFlyob",1172178565896507392#,Thu Sep 12 16:02:02 +0000 2019
"Eat Fit || Scottish Baby Carrot &amp; Chive Tart

https://t.co/8chIXs3ZbA

#kfef #eatfit #carrots https://t.co/vdv0QHRbDy",1172106838810214401#,Thu Sep 12 11:17:01 +0000 2019
"@sen_shahana @Kashh_yup Very well concluded. I meant, branding these days, say https://t.co/jcy8fFMTjC or https://t.co/CjXjKmV5Oc has commercialized. Not targeting them, they can do business in any stream, but for a laymen like me, will fall in these fancy fitness regimes.",1172067578023297025#,Thu Sep 12 08:41:01 +0000 2019
"RT @paraj_dhillon: @BeCureFit while I really appreciate healthy meals you provide through https://t.co/ozxazchvL9, it would be nice if you…",1172057411529498624#,Thu Sep 12 08:00:37 +0000 2019
"@BeCureFit while I really appreciate healthy meals you provide through https://t.co/ozxazchvL9, it would be nice if you could provide sustainable packaging for the food. The pile of plastic keeps rising if one has taken a subscription, like me. #saynotosingleuseplastic as PM says",1172055282333224960#,Thu Sep 12 07:52:09 +0000 2019
"En eat&amp;fit encuentras diferentes preparaciones deliciosas, te dejamos un poquito de nuestros rollitos de nopal con quesito. https://t.co/4GZ85dSPFr",1171954579392434176#,Thu Sep 12 01:12:00 +0000 2019
"RT @BigkartDeal: #GiveAway We have five https://t.co/3aje4TIoGP coupons.

If you need comment below.

Pls RT and Share",1171854401918554113#,Wed Sep 11 18:33:56 +0000 2019
"#ambition, #beast, #beastmode, #bjj, #brazilianjiujitsu, #determination, #eat, #fit, @fitbodapp, #fitness, #food, #goals, #gym, #gymlife, #man, #muscle, planetfitness, #power, #powerlifting, #strength,… https://t.co/GUzgZu4sbZ",1171844287002304512#,Wed Sep 11 17:53:44 +0000 2019
text,id,date
Dat Dog builds on 'greenie weenie' side of its menu with help of Eat Fit Nola https://t.co/TEpYFkzaIE,1171839657006575616#,Wed Sep 11 17:35:20 +0000 2019
"What Ingredients are in Personal Care Products &amp;#8211; Dirty Dozen Checklist https://t.co/pnmEIoazVg
.
💝Like and Share if you're loving this💝
.
#freedom #getwellsoon #livefree #cleanfood #eatwell #lovely #eat #fit #instafit #fitgirl https://t.co/x6zWQQjIXa",1171821983002087424#,Wed Sep 11 16:25:06 +0000 2019
"RT @BigkartDeal: #GiveAway We have five https://t.co/3aje4TIoGP coupons.

If you need comment below.

Pls RT and Share",1171817978003742720#,Wed Sep 11 16:09:11 +0000 2019
"Eat Fit || Israeli-Spiced Tomato and Chickpea Salad with Yogurt Sauce

https://t.co/5DbSLUpR8Q

#kfef #eatfit #chickpeas #salad",1171816325091663875#,Wed Sep 11 16:02:37 +0000 2019
"Magicpin app offer  : 

Eat fit 5 vouchers FREE worth Rs.99 each (99x5) 

Buy 5 quantity repeat user voucher of flat 99 off from magicpin and 

Code :  EATFIT99
 
 get flat 400 off.

Uncheck groupbuy to receive 5 different coupons.",1171810182113841152#,Wed Sep 11 15:38:13 +0000 2019
"RT @BigkartDeal: #GiveAway We have five https://t.co/3aje4TIoGP coupons.

If you need comment below.

Pls RT and Share",1171802365373992961#,Wed Sep 11 15:07:09 +0000 2019
"A 'greenie weenie,' you say? Take a look at @DatDogUS's new style in push for 'lifestyle focused' menu with help of Eat Fit Nola

Basically ... Think: 🌭 ➖ 🍞 ➕ 🥗 
https://t.co/fICuWqJqTS",1171801092516175873#,Wed Sep 11 15:02:06 +0000 2019
"https://t.co/f2KVo28IX8  is on Sale!
#domainsforsale #domainname #domainNames #domain #domainforsale #Sales #domainnamesales #company #Name  #Startup #startups #Food #Cafe #Snacks #Restaurants #Restaurant #Grub #GoDaddy #Sedo #Brand #Short  #fast #Modern #Delivery #eat #fit #app",1171769577509769221#,Wed Sep 11 12:56:52 +0000 2019
"RT @Techglares: Magicpin app offer  : 

Eat fit 5 vouchers FREE worth Rs.99 each (99x5) 

Buy 5 quantity repeat user voucher of flat 99 off…",1171756651474350088#,Wed Sep 11 12:05:30 +0000 2019
"Eat Fit || Pasta Pomodoro Sauce

https://t.co/tCsauqbNXo

#kfef #eatfit #pasta #sauce https://t.co/S4t2o2wpqW",1171744450449682432#,Wed Sep 11 11:17:01 +0000 2019
Must try https://t.co/N4aDXeigYQ Chilli Chicken Hakka Noodles it’s so yum. #PSA,1171724178501689345#,Wed Sep 11 09:56:28 +0000 2019
"Office lunch does not cease to surprise..

When #eat.fit @BeCureFit thought ""Chilli Chicken"" is veg.. 😬 https://t.co/Qy3ueJWpWp",1171698160344817665#,Wed Sep 11 08:13:05 +0000 2019
"RT @Techglares: Magicpin app offer  : 

Eat fit 5 vouchers FREE worth Rs.99 each (99x5) 

Buy 5 quantity repeat user voucher of flat 99 off…",1171696594854395904#,Wed Sep 11 08:06:51 +0000 2019
"@Techglares Nadri thalaivaaa..

Get 78% discount on this voucher from https://t.co/O1UYLEME5S. Join my group within next 1 hour. Only 2 more places left. Hurry! Use link https://t.co/TPuAE64Te3 https://t.co/BuLPiaSKrR",1171693617854873605#,Wed Sep 11 07:55:02 +0000 2019
Magicpin https://t.co/G4XYuO4sQK Offer https://t.co/Kc2jaSey6s,1171692661545283585#,Wed Sep 11 07:51:14 +0000 2019
"$FLOW $SID $OUT $A $BIN
$IT $EAT $FIT
$ONE $ALLY",1171692575142699008#,Wed Sep 11 07:50:53 +0000 2019
"RT @Techglares: Magicpin app offer  : 

Eat fit 5 vouchers FREE worth Rs.99 each (99x5) 

Buy 5 quantity repeat user voucher of flat 99 off…",1171684499001765888#,Wed Sep 11 07:18:48 +0000 2019
"RT @Techglares: Magicpin app offer  : 

Eat fit 5 vouchers FREE worth Rs.99 each (99x5) 

Buy 5 quantity repeat user voucher of flat 99 off…",1171684308152508416#,Wed Sep 11 07:18:02 +0000 2019
"Magicpin app offer  : 

Eat fit 5 vouchers FREE worth Rs.99 each (99x5) 

Buy 5 quantity repeat user voucher of flat 99 off from magicpin and 

Code :  EATFIT99
 
 get flat 400 off.

Uncheck groupbuy to receive 5 different coupons.",1171683867909996544#,Wed Sep 11 07:16:17 +0000 2019
"RT @BigkartDeal: #GiveAway We have five https://t.co/3aje4TIoGP coupons.

If you need comment below.

Pls RT and Share",1171676957852852224#,Wed Sep 11 06:48:50 +0000 2019
"RT @BigkartDeal: #GiveAway We have five https://t.co/3aje4TIoGP coupons.

If you need comment below.

Pls RT and Share",1171668283172388864#,Wed Sep 11 06:14:21 +0000 2019
"RT @BigkartDeal: #GiveAway We have five https://t.co/3aje4TIoGP coupons.

If you need comment below.

Pls RT and Share",1171664281097711616#,Wed Sep 11 05:58:27 +0000 2019
"RT @BigkartDeal: #GiveAway We have five https://t.co/3aje4TIoGP coupons.

If you need comment below.

Pls RT and Share",1171647132257988612#,Wed Sep 11 04:50:19 +0000 2019
