text,id,date
@zomatocare I am really astonished if it was on the fault of zomato server which was showing payment failed how can i be held responsible for that. Really pathetic service from zomato. I am shifting to swiggy which has more options as well as discount. These services depends on goodwill,1174005321737490432#,Tue Sep 17 17:00:55 +0000 2019
"#swiggy #Netflix #twitter #youtube #filtercoffee 
My lighter habits slowly getting stronger. Time to remember the legend's quote. 

My mind voice:
Even the legend couldn't overcome his cherry Coke habit. https://t.co/nuczygslag",1174005100517289986#,Tue Sep 17 17:00:02 +0000 2019
@Aasshiiqq swiggy vala hoga Shayad 😂😂,1174005009777754112#,Tue Sep 17 16:59:40 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174004698388545536#,Tue Sep 17 16:58:26 +0000 2019
RT @rajakumaari: Swiggy employees maanaada? https://t.co/gx97mcB4pi,1174004670433415169#,Tue Sep 17 16:58:20 +0000 2019
"@Mallik_Y1988 @HiHyderabad @PTelangana @sushilrTOI @revathitweets @swiggy_in @SwiggyCares @n_clicks @SwiggyCares  will you really allow them. And one more thing they will not give them  there Log in ID. until or unless they will not give there RC,DL, etc...",1174004512454897667#,Tue Sep 17 16:57:42 +0000 2019
RT @MeetUunngLee: @Q_Qrius @swiggy_in Somewhere in Lucknow it was clicked.,1174004441202053121#,Tue Sep 17 16:57:25 +0000 2019
RT @Q_Qrius: @MeetUunngLee @swiggy_in This is awesome🤗🤗. Who clicked this pic?,1174004431588716545#,Tue Sep 17 16:57:23 +0000 2019
"RT @square_sandwich: For the love of Chocolate Sandwich! #DarkChocoCheeseGrilledSandwich at #SandwichSquare

Now at Kellys, Villivakkam, Av…",1174004119712854019#,Tue Sep 17 16:56:08 +0000 2019
"RT @AkanchaS: Hey @swiggy_in @SwiggyCares, someone sent these pictures. Respect to him and you! 🙌💯
#PictureOfTheDay https://t.co/58oeymhap8",1174004083629289472#,Tue Sep 17 16:56:00 +0000 2019
RT @moinsidehit: Zomato vs Swiggy vs Uber eats || who provide best World Cup 2019 offers? https://t.co/NzjP3kymE9 via @YouTube,1174004056555024384#,Tue Sep 17 16:55:53 +0000 2019
RT @moinsidehit: Swiggy se 160₹ ka khana ab 22₹ me order karo WITH PROOF || https://t.co/MghlpHhBmI via @YouTube,1174004009171992577#,Tue Sep 17 16:55:42 +0000 2019
